Clase,Edad,Sexo,Sobrevivio
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
